,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,,,,,,,,,,,,,,,,,,,,,,,,
,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,,,,,,,Lunes,Martes,Miercoles,Jueves,,materia,materia,materia,,,,,,,,RESTRICCION,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPOS,lunes,martes,miercoles,jueves,,3,4,5,,,suma,,HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES
M25_2,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,,,,M25_2,,#REF!,5,5,5,5,,0,4,0,,,4,,4,2,2,2,2,2
M8_1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1,1000,1,1000,1000,1000,1000,1000,1000,M8,,,M8_1,,#REF!,6,6,6,4,,0,0,5,,,5,,5,2,2,2,2,2
M8_2,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1,1000,1,1000,1000,1000,1000,1000,1000,,,,M8_2,,#REF!,6,6,6,4,,0,0,5,,,5,,5,2,2,2,2,2
M8_3,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1,1000,1,1000,1000,1000,1000,1000,1000,,,,M8_3,,#REF!,6,6,6,4,,0,0,5,,,5,,5,2,2,2,2,2
M14_1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,M14,,,M14_1,,#REF!,6,1,3,3,,0,0,5,,,5,,5,2,2,2,2,2
M14_2,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,,,,M14_2,,#REF!,6,1,3,3,,0,0,5,,,5,,5,2,2,2,2,2
M14_3,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,,,,M14_3,,#REF!,6,1,3,3,,0,0,5,,,5,,5,2,2,2,2,2
M16_1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1,1,1,1,1000,1000,1000,1,1,1,1,1000,1,1,1,1,1,1000,1000,1,1,1,1,1000,1,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1,1,1,1000,M16,,,M16_1,,#REF!,0,4,5,4,,3,0,0,,,3,,3,2,2,2,2,2
M16_2,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1,1,1,1,1000,1000,1000,1,1,1,1,1000,1,1,1,1,1,1000,1000,1,1,1,1,1000,1,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1,1,1,1000,,,,M16_2,,#REF!,0,4,5,4,,3,0,0,,,3,,3,2,2,2,2,2
M16_3,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1,1,1,1,1000,1000,1000,1,1,1,1,1000,1,1,1,1,1,1000,1000,1,1,1,1,1000,1,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1,1,1,1000,,,,M16_3,,#REF!,0,4,5,4,,3,0,0,,,3,,3,2,2,2,2,2
