,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,,10,,0,0,2,M18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,,6,,2,0,0,M19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,,2,,10,,0,0,2,M22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,,2,,10,,0,0,2,M23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,,2,,8,,0,2,0,M25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,,3,,15,,0,0,3,M8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M14,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,,3,,15,,0,0,3,M14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,3,,9,,3,0,0,M16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,,4,,14,,2,2,0,M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,,4,,15,,1,3,0,M17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4,,20,,0,0,4,M24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,6,,6,,22,,4,0,2,M9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOSbloques,3,4,4,3,8,3,2,2,2,2,2,1,2,2,6,3,4,2,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suma,3,4,4,3,8,3,2,2,2,2,2,1,2,2,6,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,,,,,,,Lunes,Martes,Miercoles,Jueves,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPOS,lunes,martes,miercoles,jueves,,,,,,,,,,,,,,,,,,
M1_1,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,M1,,,M1_1,,1,2,2,1,0,,,,,,,,,,,,,,,,,,
M2_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M2,,,M2_1,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
M3_1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,M3,,,M3_1,,1,3,0,0,3,,,,,,,,,,,,,,,,,,
M4_1,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,M4,,,M4_1,,1,2,2,4,4,,,,,,,,,,,,,,,,,,
